DEVICE;suministro;cliente;contrato;fecha_inicio;sea;distribuidor;subestacion;zona;distrito;distrito_descripcion;grupo_lectura;ruta_lectura;orden_lectura;grupo_tarifario;codigo_tarifa;tarifa
1029;01_DY10;AOWKQW;2;1999-12-28Z;SRBUSTO;13_OSDE;3099;A;1;CORDOBA;1;1216;176;1;140;1.a/f RESIDENCIAL
1030;01_DZ01;ERSEZRL;7;2018-06-14Z;SRBUSTO;13_OSDE;3099;A;1;CORDOBA;1;1216;195;1;140;1.a/f RESIDENCIAL
1031;01_DZ02;UPLSZQ;2;2006-01-30Z;SRBUSTO;13_OSDE;3099;A;1;CORDOBA;1;1216;185;1;140;1.a/f RESIDENCIAL
1032;01_DZ03;OGWDII;2;2018-10-05Z;SRBUSTO;13_OSDE;3099;A;1;CORDOBA;1;1216;184;1;140;1.a/f RESIDENCIAL
1033;01_DZ04;HGPYNTM;3;2023-06-12Z;SRBUSTO;13_ELCONDOR;3172;A;1;CORDOBA;1;1303;213;1;140;1.a/f RESIDENCIAL
1034;01_DZ05;PSESCN;1;1990-06-30Z;SRBUSTO;13_ELCONDOR;3172;A;1;CORDOBA;1;1303;223;1;140;1.a/f RESIDENCIAL
1035;01_DZ06;SJFIAP;3;2023-05-05Z;SRBUSTO;13_ELCONDOR;5231;A;1;CORDOBA;1;1384;214;1;140;1.a/f RESIDENCIAL
1036;01_DZ07;VRZUFU;1;1990-06-30Z;CERRO;13_RNUNIEZ;3253;A;1;CORDOBA;1;1214;224;1;140;1.a/f RESIDENCIAL
1037;01_DZ08;DOFRRK;1;1990-06-30Z;SRBUSTO;13_ELCONDOR;3161;A;1;CORDOBA;1;1240;93;1;140;1.a/f RESIDENCIAL
1038;01_DZ09;MRJANZS;3;2015-09-29Z;SRBUSTO;13_ELCONDOR;3249;A;1;CORDOBA;1;1290;92;1;140;1.a/f RESIDENCIAL
1039;01_DZ10;NJDTFY;1;1990-06-30Z;SRBUSTO;13_ELCONDOR;3172;A;1;CORDOBA;1;1303;217;1;140;1.a/f RESIDENCIAL
1040;01_EA01;GEPASL;2;1999-12-15Z;SRBUSTO;13_ELCONDOR;3172;A;1;CORDOBA;1;1303;241;1;140;1.a/f RESIDENCIAL
1041;01_EA02;QVGPRO;1;1990-06-30Z;SRBUSTO;13_ELCONDOR;3172;A;1;CORDOBA;1;1303;208;1;140;1.a/f RESIDENCIAL
1042;01_EA03;JGZOYH;1;1990-06-30Z;CERRO;13_RNUNIEZ;3253;A;1;CORDOBA;1;1214;216;1;140;1.a/f RESIDENCIAL
1043;01_EA04;WIVXTD;1;1990-06-30Z;SRBUSTO;13_ELCONDOR;3252;A;1;CORDOBA;1;1213;132;1;140;1.a/f RESIDENCIAL
1044;01_EA05;UCOANTP;2;2018-05-30Z;SRBUSTO;13_ELCONDOR;3249;A;1;CORDOBA;1;1303;66;1;140;1.a/f RESIDENCIAL
1045;01_EA06;RNYGXSJ;4;2022-08-12Z;SRBUSTO;13_ELCONDOR;3172;A;1;CORDOBA;1;1384;129;1;140;1.a/f RESIDENCIAL
